genre,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11
classical,13.553576517042275,9.957168001407517,-16.979733145998928,-5.200538932906072,-14.000399745959015,-1.9436307651438023,-4.955349124629781,-5.577220376891202,-11.804008078162907,-3.715331654630989,-8.536708818536137,-5.925155918644561
classical,14.832872273700932,11.322738765469442,-27.35752147662144,-11.904238245451996,-12.701943555555225,-0.9153728732504238,-22.11937275004109,-13.177338552012168,-2.2241815638542737,1.2969163867622984,-13.8260854891732,1.592859544058362
classical,11.70525128031548,17.45307817179563,-12.935228718523595,-7.891111873419378,0.5780284794821339,4.958120906847119,-8.303587851120762,-6.2359186155377175,-8.915452756426166,-0.9260033426494189,-5.225512965512465,-5.907732009063095
jazz,15.417159680443469,11.208220950716134,-15.450630559314979,6.591996445014341,-17.543836232721734,7.136663603495085,-18.394173044234048,10.448584024256382,-13.417432096440166,3.7162341788169324,-5.7987266820716235,12.721117248577235
jazz,15.857104626415001,20.908713818172572,-21.106567557171058,8.289756518047138,-19.971800301285224,-12.050738137563757,-13.00240458257668,-13.621249634531504,-7.210209154546144,-7.426444131555176,-2.6671252013061384,-1.0869559158871063
jazz,15.944161994790107,20.825233516705136,-20.97269087437424,8.657136243330728,-20.228457250989038,-12.325531132347459,-14.223849910247287,-16.09517473305024,-9.41546459652442,-8.005724278694519,-2.6420527762502175,-2.1168663635369174
jazz,16.042770548039382,21.483825075866303,-22.547772245180408,2.6805774752609484,-22.871852952518378,-11.927090630700082,-9.944322024256124,-9.458611650733333,-1.63077438808696,-3.2103384892843483,-1.6781144077752301,-2.3513434722426076
jazz,16.07358880491103,21.775896412828036,-21.507327603384606,5.182528685039568,-21.703299302388924,-13.570131141377997,-13.512029386265116,-12.816364569381193,-5.004768224343288,-5.597769063860454,-4.019650168556652,-5.5382046725210685
jazz,16.048127718587832,22.18179554571978,-20.316097952316653,5.840872167109133,-19.668552526105987,-13.600913226764929,-13.325351916435613,-12.881788950892725,-5.342600380220481,-7.013338542282873,-5.786842208646327,-6.263722561486786
jazz,13.683854133588207,4.574681380067749,5.944993638058388,2.103211556947517,11.271991146129842,-9.006319479157215,3.280399522201912,-2.7604607377141304,-0.6532989147733611,-4.126077270096034,-2.5114635824674587,-0.8132549261629285
