genre,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11
classical,0.0066025435815930174,0.004102690317651427,0.0037248249142826924,0.0030482254923839495,0.002947166652479906,0.0031280532509424044,0.0030379885767040445,0.0031056492562179807,0.003116749822840364,0.00330423129445143,0.004081605032663569,0.0037963537347069655
classical,0.005201171225266253,0.0032438234097358007,0.0031850473836992034,0.0039274245057032715,0.003829478323756565,0.0036692183837936936,0.003138237649394927,0.0031599001014465363,0.003275996665118905,0.0034121643511767557,0.003626998376880729,0.003535125518291202
classical,0.005112034286461519,0.0035804511526276745,0.003762354495362273,0.003540020950773705,0.003604114791433579,0.003573377198728926,0.003359486133583536,0.0034496713506803325,0.0034858112133967396,0.0031571683676626283,0.003125217444840751,0.0030899529382900264
jazz,0.0047829204000823175,0.0028389526019699197,0.0025693131609447746,0.0031266990114600466,0.0024947747955530795,0.0024663430011905535,0.00297665919712497,0.0027817652251301973,0.002754139299869982,0.0026360256474888214,0.0034236566400586907,0.00253452066874474
jazz,0.004012552722979105,0.0017422692604252017,0.0020482497158201374,0.0019206817340184693,0.0025017569104623916,0.0020477326603661377,0.0019260736477430891,0.0020272702591965694,0.0024066530155337183,0.0019568264373198046,0.0018914242107376871,0.0023013827932722134
jazz,0.004681296671258349,0.0028453081385895014,0.0027588089576035184,0.003167850498975173,0.003139502422831175,0.0027637572730047012,0.0027346167733759536,0.0030914888910186923,0.002985748994038459,0.0027694892675324484,0.0030026553975002436,0.0028552489465375596
jazz,0.004801999110961599,0.003086956372544747,0.00358824411094921,0.0030591716120618676,0.003070114393272237,0.003370985449867608,0.0031295141362578417,0.0029562828157171633,0.0032537199220212926,0.0032843164822138502,0.0031555518609336355,0.0031760460562449528
jazz,0.003979104073499373,0.0024463726859641115,0.002290485440350531,0.002145715379760825,0.002087124919190526,0.002274479651552952,0.002419146339358144,0.002215867410238796,0.0019874952811034423,0.002276768167681274,0.0024092983681526384,0.0020534559133503112
jazz,0.00469216126199492,0.0034245750915007276,0.0031365600257806086,0.0033115292227658597,0.003028016410701523,0.0033672863244287427,0.003014629264639559,0.0033797559495652913,0.0033338048778145425,0.0031073286244375263,0.0031337543123627497,0.0033210910347707253
jazz,0.004943594677164,0.002938573078745006,0.0035610236869891843,0.0037400003430981413,0.003007639772489599,0.0029544483716388075,0.0029821673469854794,0.0037529648699592246,0.002872944152197754,0.0029559940026897885,0.003911208489188299,0.0030698156647651974
jazz,0.005500316066640181,0.0034368395369937404,0.002751677805899495,0.002815338686481314,0.002676689450346206,0.0028017746169782306,0.002706472883291279,0.0027492535662930265,0.0029133665067762166,0.003198903874084116,0.0038794500657804336,0.003420282618188569
jazz,0.004905663263790215,0.003175343297955563,0.0031101597756698417,0.002741245435117788,0.0029652101841107117,0.0028354930647267688,0.00269257801299937,0.0029401206424742635,0.0033020880288094434,0.003646221985406871,0.003715496152655128,0.0036767963625057164
jazz,0.0051797981453749,0.00288772037479797,0.00300134407613218,0.003073658246793564,0.003459415512704969,0.003518920571446223,0.003836718377537573,0.0034676132241765415,0.003119552644961798,0.003118738094183932,0.003127830581289025,0.00373530260098258
classical,0.004443198755067783,0.002663269601918379,0.0027784898121654853,0.0028547902533207917,0.0028641068004791014,0.003006229856417776,0.0030157279535014355,0.002971598929509623,0.0029268076006517493,0.0030634040350738345,0.0031173543270114215,0.0032615818079367418
jazz,0.0055051108412235905,0.003259552040142078,0.003196929354617528,0.0028815412029564295,0.0029862949795782115,0.00299084062038273,0.0026653753676735793,0.0025549806812586026,0.002677441380382643,0.0027923619468548356,0.0026488986266082065,0.002882743849817999
jazz,0.004603157158715356,0.0034175572186597503,0.00286722840164648,0.0033003145267888503,0.0026417465533712554,0.003826757910539806,0.0027458022112624952,0.002669809366330095,0.002610078019504769,0.0029262946298314924,0.002963815973391501,0.0029176116729596026
jazz,0.0050706740117577,0.003787209996763213,0.0034534903360937236,0.0025692005859767595,0.0030173621990449966,0.002568163930242399,0.003396690771649985,0.003054953607967917,0.0026064169544999924,0.003450885999702804,0.002776240002896261,0.0026958877992727163
jazz,0.00493827511567879,0.0032875196934218412,0.003236816136088424,0.0032439460407983154,0.0037062166893952185,0.0032778690661406625,0.0034875753410315135,0.0035478294226754183,0.003069979958529791,0.0035368316133487774,0.002904915618741132,0.003421968921119266
jazz,0.0054142973571024945,0.0024401019913459616,0.0031177257809996313,0.0029636688964518702,0.0025964727141838608,0.003463740214832231,0.0026122993143074934,0.002991715087209027,0.003315060510521161,0.0033316482720778377,0.0034878028354618307,0.002709465921660422
jazz,0.005145697547983634,0.003122939843752349,0.0034369085948429824,0.0034680293950852554,0.0031799079269039373,0.0029846690407664685,0.003554136091387208,0.0033681496595317534,0.003615226066211619,0.002942249558029554,0.003346749766869641,0.003589491490794554
jazz,0.005309116563308086,0.0032431173903959775,0.003067937978696049,0.003098818313549656,0.0028350312228145546,0.0027292968457459156,0.002787659814833344,0.0027559220067055238,0.0027801276948611897,0.0028560242857163087,0.0028646338274372412,0.0029061187290320713
jazz,0.005653290456274655,0.00352064900017243,0.0033531206246160956,0.0032135905153099285,0.003144061297814124,0.003062368099048828,0.0030537128728897194,0.00294141488930965,0.0028818696164806426,0.002933640311245555,0.0029242114793451355,0.0028959694884696974
